HEA Phase Dataset v1d,,,,,,,,,,,,,,,,
Alloy_ID,Alloy,Num_of_Elem,VEC,Atom.Size.Diff,Elect.Diff,dHmix,dSmix,,Sythesis_Route Hot-Cold_Working Homog_Temp,,Homog_Time,Anneal_Temp,Anneal_Time,Quench_Proc,Phases,References
Alloy 0093,MoNbTaTi0.75W,5,5.05,3.7453,0.2452,-2.7036,13.33,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.12.004
Alloy 0094,MoNbTaTiW,5,5.25,3.49,0.34,-4.5,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.12.004
Alloy 0095,MoNbTaV,4,5.25,3.4649,0.2571,-3.25,11.53,AC,-,-,-,-,-,-,BCC_SS,10.3390/e18050189
Alloy 0096,MoNbTaW,4,5.5,2.27,0.36,-6.5,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.intermet.2011.01.004
Alloy 0097,MoNbTaW,4,5.5,2.27,0.36,-6.5,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.12.004
Alloy 0098,MoNbTaW,4,5.5,2.27,0.36,-6.5,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.intermet.2011.01.004
Alloy 0099,MoNbTaW,4,5.5,2.27,0.36,-6.5,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.intermet.2011.01.004
Alloy 0100,MoNbTaW,4,5.5,2.27,0.36,-6.5,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.intermet.2011.01.004
Alloy 0101,MoNbTaW,4,5.5,2.27,0.36,-6.5,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.intermet.2011.01.004
Alloy 0102,MoNbTaW,4,5.5,2.27,0.36,-6.5,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.intermet.2011.01.004
Alloy 0103,MoNbTaW,4,5.5,2.27,0.36,-6.5,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.intermet.2011.01.004
Alloy 0104,MoNbTiV,4,5,4.0758,0.2489,-2.75,11.53,AC,-,-,-,-,-,-,BCC_SS,10.3390/e16020870
Alloy 0105,MoNbTiV0.3Zr,5,4.77,6.3701,0.2961,-2.6176,12.83,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0106,MoNbTiVZr,5,4.8,5.77,0.28,-2.72,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0107,NbTaTiV,4,4.75,3.53,0.05,-0.25,11.53,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.proeng.2012.03.043
Alloy 0108,NbTiV0.3Zr,4,4.39,6.0049,0.1175,1.4325,10.84,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matdes.2015.06.072
Alloy 0109,CoFeNi,3,9,0.75,0.03,-1.33,9.13,AC,-,-,-,-,-,-,FCC_SS,10.1016/j.jmmm.2014.07.023
Alloy 0110,CoFeNiSi0.25,4,8.62,2.0253,0.0325,-11.8343,10.69,AC,-,-,-,-,-,-,FCC_SS,10.1016/j.jmmm.2014.07.023
Alloy 0111,CoFeNiSi0.5,4,8.29,2.6577,0.0319,-19.4286,11.24,AC,-,-,-,-,-,-,Im,10.1016/j.jmmm.2014.07.023
Alloy 0112,CoFeNiSi0.75,4,8,3.0454,0.0314,-24.96,11.47,AC,-,-,-,-,-,-,Im,10.1016/j.jmmm.2014.07.023
Alloy 0113,Al0.25CoFeNi,4,8.54,3.9449,0.077,-6.0592,10.69,AC,-,-,-,-,-,-,FCC_SS,10.1016/j.jmmm.2014.07.023
Alloy 0114,Al0.5CoFeNi,4,8.14,5.1232,0.0971,-9.4694,11.24,AC,-,-,-,-,-,-,FCC_PLUS_BCC,10.1016/j.jmmm.2014.07.023
Alloy 0115,Al0.75CoFeNi,4,7.8,5.805,0.1094,-11.9467,11.47,AC,-,-,-,-,-,-,FCC_PLUS_BCC,10.1016/j.jmmm.2014.07.023
Alloy 0116,CoCrFeNi,4,8.25,1.03,0.1,-3.75,11.53,AC,-,-,-,-,-,-,FCC_SS,10.1016/j.intermet.2015.01.004
Alloy 0117,CoCrFeNb0.103Ni,5,8.17,2.2978,0.1015,-5.473,12.21,AC,-,-,-,-,-,-,Im,10.1016/j.intermet.2015.01.004
